index,Year,Partner,Trade Value (US$),Qty
2518,2020,India,27354364783,38004913847.0
2504,2020,Germany,78269457115,93742281464.0
2497,2020,Finland,31039813570,50899446454.0
2489,2020,Egypt,17216107787,23555154069.0
2470,2020,China,210191436556,354918549363.0
2449,2020,Belgium,22926271538,26353790153.0
2448,2020,Belarus,47987686719,52940058798.0
2612,2020,Ukraine,29013293130,52594735178.0
2524,2020,Italy,32244566116,30295234345.0
2614,2020,United Kingdom,112437464591,21956956664.0
